0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
CH;RX Freq;TX Freq;CH Mode;RX/TX Limit;TX Power;TOT;Scan Add;CH Alias;ID Type;CH ID;Dual Slot;Time Slot;Color Code;Promiscuous;TX Politely;TX Contacts;RX TG List;DMR Encryption;RX CTC DCS;TX CTC DCS;CTC DCS Type;Mute Code;Busy Lock;Demodulation;Tail Tone;Scrambler;Bandwidth;Offset
1;439.20000;434.20000;Digital;RX+TX;High;60;Add;D, RN/RN;Channel ID;724142;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
2;439.40000;434.40000;Digital;RX+TX;High;60;Add;D, RN/RN;Channel ID;724147;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
3;147.12000;147.72000;Digital;RX+TX;High;60;Add;D, RN/RN;Channel ID;724194;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;0.60000
4;439.20000;434.20000;Digital;RX+TX;High;60;Add;D, RN/RN;Channel ID;724144;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
5;147.90000;147.30000;Digital;RX+TX;High;60;Add;D, RN/RN;Channel ID;724156;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
6;146.69000;146.09000;Digital;RX+TX;High;60;Add;D, RN/RN;Channel ID;724215;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
