"CH","RX Freq","TX Freq","CH Mode","RX/TX Limit","TX Power","TOT","Scan Add","CH Alias","ID Type","CH ID","Dual Slot","Time Slot","Color Code","Promiscuous","TX Politely","TX Contacts","RX TG List","DMR Encryption","RX CTC DCS","TX CTC DCS","CTC DCS Type","Mute Code","Busy Lock","Demodulation","Tail Tone","Scrambler","Bandwidth","Offset"
28,439.17500,434.17500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724227,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
29,439.62500,434.62500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724002,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
30,439.32500,434.32500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724217,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
31,145.43000,144.83000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724231,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
32,439.75000,434.75000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724075,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
33,439.12500,434.12500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724076,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
34,146.97000,146.37000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724088,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
35,439.99000,434.99000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724212,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
36,145.43000,144.83000,"Digital","RX+TX","High",60,"Add","A, SP/SP","Channel ID",724070,"Off",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
37,439.05000,434.05000,"Digital","RX+TX","High",60,"Add","A, SP/SP","Channel ID",724090,"Off",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
38,439.35000,434.35000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724080,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
39,145.31000,144.71000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724129,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
40,439.52500,434.52500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724233,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
41,439.95000,434.95000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724051,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
42,439.47500,434.47500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724201,"On",1,6,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
43,147.30000,147.90000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724202,"On",1,15,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
44,147.36000,147.96000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724240,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
45,927.30000,902.30000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724100,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-25.00000
46,145.49000,144.89000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724228,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
47,147.21000,147.81000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724093,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
48,439.67500,434.67500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724256,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
49,145.25000,144.65000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724072,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
50,147.09000,147.69000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724032,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
51,439.02500,434.02500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724174,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
52,439.55000,434.55000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724134,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
53,439.07500,434.07500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724229,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
54,145.35000,144.75000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724234,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
55,439.02500,434.02500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724062,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
56,439.72500,434.72500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724054,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
57,439.25000,434.25000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724140,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
58,439.87500,434.87500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724116,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
59,439.47500,434.47500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724172,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
60,146.95000,146.35000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724013,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
61,439.77500,434.77500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724048,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
62,439.07500,-4560.92500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724175,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5000.00000
63,146.79000,146.19000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724068,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
64,439.75000,434.75000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724257,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
65,439.65000,434.65000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724187,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
66,439.65000,434.65000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724207,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
67,439.65000,434.65000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724020,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
68,927.20000,902.20000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724084,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-25.00000
69,145.35000,144.75000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724171,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
70,145.23000,144.63000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724179,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
71,146.71000,146.11000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724181,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
72,439.17500,434.17500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724193,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
73,147.36000,147.96000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724200,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
74,145.33000,144.73000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724203,"On",2,15,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
75,439.52500,431.92500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724205,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-7.60000
76,439.47500,434.47500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724209,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
77,439.60000,434.60000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724213,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
78,145.33000,144.73000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724214,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
79,439.62500,434.62500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724220,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
80,145.21000,144.61000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724221,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
81,147.27000,147.87000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724241,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
82,146.67000,146.07000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724064,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
83,147.24000,147.84000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724224,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
84,439.85000,434.85000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724225,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
85,146.71000,146.11000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724232,"On",2,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
86,439.72500,434.72500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724206,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
87,147.12000,147.72000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724208,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
