"CH","RX Freq","TX Freq","CH Mode","RX/TX Limit","TX Power","TOT","Scan Add","CH Alias","ID Type","CH ID","Dual Slot","Time Slot","Color Code","Promiscuous","TX Politely","TX Contacts","RX TG List","DMR Encryption","RX CTC DCS","TX CTC DCS","CTC DCS Type","Mute Code","Busy Lock","Demodulation","Tail Tone","Scrambler","Bandwidth","Offset"
28,147.27000,147.87000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724407,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
29,147.12000,147.72000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724130,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
30,146.77000,146.17000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724191,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
31,147.00000,147.60000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724096,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
32,439.75000,434.75000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724402,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
33,145.49000,144.89000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724417,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
34,146.65000,146.05000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724124,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
35,439.10000,434.10000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724125,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
36,147.03000,147.63000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724146,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
37,145.31000,144.71000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724186,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
38,146.97000,146.37000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724415,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
39,439.47500,434.47500,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724197,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
40,430.57500,439.97500,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724409,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",9.40000
41,439.60000,434.60000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724418,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
42,439.65000,434.65000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724198,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
43,145.21000,144.61000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724157,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
44,146.89000,146.29000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724167,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
45,145.35000,144.75000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724410,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
